precinct,year,race,party,candidate,votes
RUSH NORTH CENTRAL,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,62
RUSH NORTH CENTRAL,2024,STATE TREASURER,REP,STACY GARRITY,135
RUSH NORTH CENTRAL,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,5
RUSH NORTH CENTRAL,2024,STATE TREASURER,CST,TROY BOWMAN,2
RUSH NORTH CENTRAL,2024,STATE TREASURER,FWD,CHRIS FOSTER,0
RUSH NORTH CENTRAL,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,56
RUSH NORTH CENTRAL,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,149
RUSH NORTH CENTRAL,2024,SENATOR IN THE GENERAL ASSEMBLY 35TH SENATORIAL DISTRICT,DEM,WAYNE LANGERHOLC JR,160
RUSH NORTH CENTRAL,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,DEM,H SCOTT CONKLIN,95
RUSH NORTH CENTRAL,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,REP,MARIE LIBRIZZI,111
STATE COLLEGE NORTH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,509
STATE COLLEGE NORTH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,108
STATE COLLEGE NORTH,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,1
STATE COLLEGE NORTH,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,9
STATE COLLEGE NORTH,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,503
STATE COLLEGE NORTH,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,117
STATE COLLEGE NORTH,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,0
STATE COLLEGE NORTH,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,10
STATE COLLEGE NORTH,2024,UNITED STATES SENATOR,CST,MARTY SELKER,0
STATE COLLEGE NORTH,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,478
STATE COLLEGE NORTH,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,127
STATE COLLEGE NORTH,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,4
STATE COLLEGE NORTH,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,8
STATE COLLEGE NORTH,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,0
STATE COLLEGE NORTH,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
STATE COLLEGE NORTH,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,477
STATE COLLEGE NORTH,2024,AUDITOR GENERAL,REP,TIM DEFOOR,129
STATE COLLEGE NORTH,2024,AUDITOR GENERAL,LIB,REECE SMITH,8
STATE COLLEGE NORTH,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,0
STATE COLLEGE NORTH,2024,AUDITOR GENERAL,CST,BOB GOODRICH,0
STATE COLLEGE NORTH,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,468
STATE COLLEGE NORTH,2024,STATE TREASURER,REP,STACY GARRITY,137
STATE COLLEGE NORTH,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,7
STATE COLLEGE NORTH,2024,STATE TREASURER,CST,TROY BOWMAN,2
STATE COLLEGE NORTH,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
STATE COLLEGE NORTH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,491
STATE COLLEGE NORTH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,132
STATE COLLEGE NORTH,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,DEM,WILLIAM MCGILL,494
STATE COLLEGE NORTH,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,REP,CRIS DUSH,119
STATE COLLEGE NORTH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 82ND LEGISLATIVE DISTRICT,DEM,PAUL TAKAC,515
STATE COLLEGE NORTH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 82ND LEGISLATIVE DISTRICT,REP,THERESE HOLLEN,102
STATE COLLEGE NORTHEAST,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,386
STATE COLLEGE NORTHEAST,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,87
STATE COLLEGE NORTHEAST,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,6
STATE COLLEGE NORTHEAST,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
STATE COLLEGE NORTHEAST,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,367
STATE COLLEGE NORTHEAST,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,96
STATE COLLEGE NORTHEAST,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,7
STATE COLLEGE NORTHEAST,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,9
STATE COLLEGE NORTHEAST,2024,UNITED STATES SENATOR,CST,MARTY SELKER,0
STATE COLLEGE NORTHEAST,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,344
STATE COLLEGE NORTHEAST,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,103
STATE COLLEGE NORTHEAST,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,6
